Spend,Geography,Media Vertical,Media Name,Campaign Id,Product Category,Invoice
9700,All India,Newspaper,https://www.themediaant.com/newspaper/economic-times-all-india-english-advertising,INV012009,Engineering,INV012009
9146.667,Mumbai,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,642281eb90fb8800085ed02c,Services,INV011653
9146.667,Bengaluru,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,642281eb90fb8800085ed02c,Services,INV011653
9146.667,Hyderabad,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,642281eb90fb8800085ed02c,Services,INV011653
9146.667,Delhi,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,642281eb90fb8800085ed02c,Services,INV011653
9146.667,Chennai,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,642281eb90fb8800085ed02c,Services,INV011653
9146.667,Pune,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,642281eb90fb8800085ed02c,Services,INV011653
9016.4,Tamil Nadu,Television,https://www.themediaant.com/television/sun-tv-tv-advertising,6024d37ebb8f0b3caaac97ca,Education & Skill,"INV006101, INV006102"
8400,All India,Newspaper,https://www.themediaant.com/newspaper/times-of-india-all-india-english-advertising,60ff92e909ffc2000869fd67,Healthcare,INV006888
7250.1,Bengaluru,Outdoor,https://www.themediaant.com/outdoor/skywalk-bennigana-halli-bengaluru-81789,62e91f6c6fe7e40009c48509,IT Product & Services,"INV009579, INV009758, INV009992"
6775,Mumbai,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,6421bb866338d0000896d47a,Services,INV011667
6775,Bengaluru,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,6421bb866338d0000896d47a,Services,INV011667
6775,Hyderabad,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,6421bb866338d0000896d47a,Services,INV011667
6775,Chennai,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,6421bb866338d0000896d47a,Services,INV011667
6775,Pune,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,6421bb866338d0000896d47a,Services,INV011667
6775,Delhi,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,6421bb866338d0000896d47a,Services,INV011667
6600,All India,Newspaper,https://www.themediaant.com/newspaper/times-of-india-all-india-english-advertising,60ff92e909ffc2000869fd67,Healthcare,INV006888
4824.77,Bengaluru,Newspaper,https://www.themediaant.com/newspaper/times-of-india-economic-times-english-advertising,6411929e8d37a3000893818f,Finance,INV011580
4725,Maharashtra,Television,https://www.themediaant.com/television/aaj-tak-tv-advertising,5f47825d2360fd365c600b90,Education & Skill,INV005410
4300,Delhi,Airport,https://www.themediaant.com/airport/delhi-airport-advertising,62289b0f55a0710009b9dc18,Services,"INV008140, INV008511"
4202.4,Tamil Nadu,Television,https://www.themediaant.com/television/star-vijay-tv-advertising,6024d37ebb8f0b3caaac97ca,Education & Skill,"INV006101, INV006102"
4042.9,Bengaluru,Outdoor,https://www.themediaant.com/outdoor/hoarding-kadabeesanahalli-bengaluru-81521,62e91f6c6fe7e40009c48509,IT Product & Services,"INV009579, INV009758, INV009992"
4000,Mumbai,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,INV012054,Services,INV012054
4000,Bengaluru,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,INV012054,Services,INV012054
4000,Hyderabad,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,INV012054,Services,INV012054
4000,Chennai,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,INV012054,Services,INV012054
4000,Pune,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,INV012054,Services,INV012054
4000,Delhi,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,INV012054,Services,INV012054
3793.46,Delhi,Airport,https://www.themediaant.com/airport/delhi-airport-advertising,INV011948,Services,INV011948
3750,All India,Newspaper,https://www.themediaant.com/newspaper/economic-times-all-india-english-advertising,INV012139,IT Product & Services,INV012139
3645,All India,Newspaper,https://www.themediaant.com/newspaper/sakal-pune-marathi-advertising,62a09a57d875100009949e44,Entertainment,INV008946
3387.5,Mumbai,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,INV011844,Services,INV011844
3387.5,Bengaluru,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,INV011844,Services,INV011844
3387.5,Hyderabad,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,INV011844,Services,INV011844
3387.5,Chennai,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,INV011844,Services,INV011844
3387.5,Pune,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,INV011844,Services,INV011844
